address,end_address,name,kind,subtype,size_bytes,width_bits,signed,rows,cols,subsystem,confidence,inbound_xrefs,callers,description,evidence,aliases,generated
0x1033,0x1033,ADR3,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1034,0x1034,ADR4,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x103A,0x103A,COPRST,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x103B,0x103B,SERVICE_IO_103B,mcu_io,u8,1,8,,,,hardware-service,strong,0,,Extended service/serial transfer register used by the 0xBD6E state machine.,decoded producer/consumer instruction flow,,false
0x103D,0x103D,INIT,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1040,0x1040,EXT_IO_1040,mcu_io,u8,1,8,,,,external-asic,open,0,,External ASIC/I/O register block used by hardware service code.,decoded producer/consumer instruction flow,,false
0x1050,0x1050,EXT_IO_1050,mcu_io,u8,1,8,,,,external-asic,strong,0,,External ASIC/I/O register; idle path toggles bit 0x04.,decoded producer/consumer instruction flow,,false
0x1060,0x1060,EXT_IO_1060,mcu_io,u8,1,8,,,,external-asic,open,0,,External ASIC/I/O register block used by hardware scan code.,decoded producer/consumer instruction flow,,false
0x1080,0x1080,EXT_IO_1080,mcu_io,u8,1,8,,,,external-asic,open,0,,External ASIC/I/O register block used by hardware scan code.,decoded producer/consumer instruction flow,,false
0x2007,0x2007,adc_processed_input_2007,ram,variable,1,8,,,,sensors,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2008,0x2008,adc_raw_input_2008,ram,variable,1,8,,,,sensors,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x200A,0x200A,adc_raw_input_200a,ram,variable,1,8,,,,sensors,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x200C,0x200C,adc_raw_input_200c,ram,variable,1,8,,,,sensors,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x200D,0x200D,adc_raw_input_200d,ram,variable,1,8,,,,sensors,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x200E,0x200E,adc_raw_input_200e,ram,variable,1,8,,,,sensors,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2013,0x2013,processed_sensor_2013,ram,variable,1,8,,,,unknown,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2014,0x2015,load_model_working_2014,ram,u16,2,16,,,,air-load,strong,0,,Modeled load/air-charge working value and source for load-rise/state-delay logic.,decoded producer/consumer instruction flow,,false
0x2017,0x2017,positive_load_delta_2017,ram,u8,1,8,,,,air-load,confirmed,0,,"Clamped positive difference max(0, 0x00C9-0x0011) used by the 0x9291 axis.",decoded producer/consumer instruction flow,,false
0x2030,0x2031,transient_working_axis_2030,ram,s16,2,16,,,,fuel-transient,strong,0,,Signed/limited transient working axis.,decoded producer/consumer instruction flow,,false
0x2034,0x2035,normalized_load_axis,ram,q8.8,2,16,,,,air-load,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2036,0x2037,normalized_rpm_axis,ram,q8.8,2,16,,,,speed-rpm,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2038,0x2039,iat_axis_index,ram,q8.8,2,16,,,,temperature,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x203C,0x203D,cts_axis_index,ram,q8.8,2,16,,,,temperature,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x203E,0x203F,cts_axis_fraction_or_value,ram,q8.8,2,16,,,,temperature,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2040,0x2041,shared_scheduler_axis_2040,ram,q8.8,2,16,,,,scheduler,confirmed,0,,Shared 8.8 axis derived from filtered 0x00CC and used by scheduler/fuel support vectors.,decoded producer/consumer instruction flow,scheduler_axis_index,false
0x2042,0x2043,transient_helper_axis,ram,q8.8,2,16,,,,axes,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2044,0x2045,rpm_site_index_19,ram,q8.8,2,16,,,,speed-rpm,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2046,0x2047,spark_transition_axis,ram,q8.8,2,16,,,,ignition,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x2048,0x2048,scheduler_signed_correction_2048,ram,s8,1,8,,,,scheduler,strong,0,,Signed scheduler support result from the 0x9303 subvector.,decoded producer/consumer instruction flow,,false
0x2049,0x2049,fast_lambda_fuel_correction_2049,ram,u8,1,8,,,,closed-loop,strong,0,,Fast fuel correction selected from 0x84E3 by shared axis 0x2040.,decoded producer/consumer instruction flow,,false
0x204A,0x204A,iat_rpm_fuel_correction_a_204a,ram,s8,1,8,,,,fuel,confirmed,0,,Signed output from 0x802B IAT/RPM correction table.,decoded producer/consumer instruction flow,,false
0x204B,0x204C,summed_fuel_correction,ram,s16,2,16,,,,fuel,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x204D,0x204D,iat_rpm_fuel_correction_b_204d,ram,s8,1,8,,,,fuel,confirmed,0,,Signed output from 0x8103 IAT/RPM correction table.,decoded producer/consumer instruction flow,,false
